Generic name,Dose,Safe dose,Geriatric dose,Class,Most common use,Mechanism of action,Adverse reactions,Contraindications,Nursing implications,Patient teaching
Acetaminophen,,650mg 4-6 hr max 4000mg/day,,non opiod analgesic,reduce fever and pain,believed to be bc of descending serotonergic inhibitory pathways in CNS,hepatotoxicity,,"**monitor liver enzymes, check previously given doses ",
Acyclovir,600mg,"10mg/kg/dose q8hr for 14-21 days for encephalitis

5-10mg/kg/dose q8hr for 2-7 days followed by oral for immunocompetent genital HSV",,antiviral,"HSV, herpes zoster (shingles), varicella (chicken pox)","virus specific thymidine kinase converts acyclovir to acyclovir monophoshate, which further gets ocnverted to acyclovir triphosphate which inhibits DNA synthesis","AKI, neurotoxicity, thrombotic microangiopathy (thrombus in capillaries& arterioles)",,check labs,
Alendronate,,70mg once weekly,,bisphosphonate derivative,"osteopororis,paget disease ","bisphosphonate inhibits bone resoprtion via actions on osteoclasts or on osteoclast precusors; decresae the rate of bone resorption, leading to an indirect incrase in bone mineral density. Note: For Paget disease whic is characterized by disordered resorption and formation of bone, inhibition leads to an indirect decrease in bone formation, but newly formed bone is more normal in architecture.","Atypical femur fractures, GI mucosal irritation, hypocalcemia, osteonecrosis of jaw","Renal insufficiency with CrCl<35mL/min, hypocalcemia, abnormalities of esophagus which delay esophageal emptying, inability to stand or sit upright for atleast 30 minutes, increased risk of aspiration","check monitored labs, teach adminstration, change lifestyle for optimized bone grwoth, report pain, good oral hygiene and dental exams",
alteplase,2mg,catheter clearance: 1-2mg,,thombolytic,"acute ischemic stroke, pulmonary embolism, ST elevated mycoardial infarction",binds to fibrin and converts plasminogen to plasmin,hemmorrhage,,"**check HgB, PLT",
Aluminum OH and MgOH,,AlOH 200mg / MgOH 200mg / 5ml at amx 80ml per 24 hrs,,antacid,"Antacid: Relief of heartburn, acid indigestion, sour stomach and GI upset associated with these symptoms",,"Central nervous system: Calcium or chalky taste

Endocrine & metabolic: Hypermagnesemia (rare), hypophosphatemia (rare)

Gastrointestinal: Abdominal cramps, constipation, fecal discoloration (white speckles), fecal impaction, nausea, vomiting",,,
"amLODIPine
 (Norvasc)",,5-10mg once daily,"Dosing should start at the lower end of dosing range and be titrated to response due to possible increased incidence of hepatic, renal, or cardiac impairment. Elderly patients also show decreased clearance of amlodipine.

Chronic stable angina (alternative agent); vasospastic angina: Oral: Initial: 5 mg once daily.

Hypertension: Oral: Initial: 2.5 mg once daily.","Antianginal Agent; Antihypertensive; Calcium Channel Blocker; Calcium Channel Blocker, Dihydropyridine","Angina: Treatment of symptomatic chronic stable angina; treatment of confirmed or suspected vasospastic angina (previously referred to as Prinzmetal or variant angina). May be used alone or in combination with other antianginal agents.

Hypertension: Management of hypertension in adults and children ≥6 years of age.","Inhibits calcium ion from entering the “slow channels” or select voltage-sensitive areas of vascular smooth muscle and myocardium during depolarization, producing a relaxation of coronary vascular smooth muscle and coronary vasodilation; increases myocardial oxygen delivery in patients with vasospastic angina. Amlodipine directly acts on vascular smooth muscle to produce peripheral arterial vasodilation reducing peripheral vascular resistance and blood pressure.","Peripheral edema is the most common adverse reaction with amlodipine, characterized by ankle and leg swelling independent of fluid retention (Ref). It is a bothersome adverse reaction for patients and may lead to discontinuation (Ref). Peripheral edema can be expected to subside within several days following intervention.

Mechanism: Dose-and time-related; related to the pharmacologic action. Calcium channel blocker-mediated peripheral edema is caused by arteriolar vasodilation that subsequently leads to increased hydrostatic pressure in the precapillary circulation and fluid movement from the capillary vasculature to the interstitial space (Ref). In addition, impaired postural vasoconstriction may contribute (Ref).","Hypersensitivity to amlodipine or any component of the formulation.

Canadian labeling: Additional contraindications (not in the US labeling): Hypersensitivity to other dihydropyridines; severe hypotension (systolic BP <90 mm Hg); breastfeeding; shock (including cardiogenic shock); obstruction of the outflow tract of the left ventricle (eg, high-grade aortic stenosis); hemodynamically unstable heart failure after acute myocardial infarction; hereditary fructose intolerance (oral solution); hyperglycerolemia or glycerol kinase deficiency (oral solution).","Check ordered labs and report any abnormalities. Monitor patient’s cardiovascular status including blood pressure, heart rate, rhythm, ECG changes, and signs of new or worsening heart failure (peripheral edema, pulmonary congestion, weight gain, increased shortness-of-breath). Teach patients orthostatic precautions (rise slowly, call for assistance, notify nurse if feeling dizzy or faint).",
Apixaban,2.5mg,5mg BID unless age>80 then 2.5mg,,"anticoagulant, factorXa inhibitor, ddirector oral anticoagulant","DVT, nonvalvular atrial fibrillation, post operative venous thromboprophylaxis, pulmonary embolism",inhibits platelet activatio nand fibrin clot formation via inhibiiton of factora Xa which is part of the prothombinase complex that catalyzes the conversion of prothrombin to thrombin which catalyzes the conversion of fibirnogen to fibrin.,"major bleeding, spinal or epidural hematomas(for patients undergoing spinal puncture or neuraxial anesthesia)","hepatic diseases associated with coagulopathy, active peptic ulkcer disease, recent bleeding, low molecular weight heparins, oral anticoagulants","check labs, bleeding, don't eat grapefruit juice",
ARIPIprazole,,"Agitation/aggression (acute, severe) associated with psychiatric disorders: 10-15mg up to 30mg/day

Agitation/aggression and psychosis associated with dementia, severe or refractory (alternative agent) : 2-5mg once daily up to 15mg once daily

Bipolar disorder: up to 30mg / day",,Second Generation (Atypical) Antipsychotic,"Bipolar disorder: As monotherapy or as an adjunct to lithium or valproate for acute treatment of mania or episodes with mixed features associated with bipolar disorder and maintenance treatment (tablet with sensor only) of bipolar disorder.

Irritability associated with autistic disorder: Treatment of irritability associated with autistic disorder (tablet, orally disintegrating tablet, and oral solution only) in children and adolescents.

Major depressive disorder (unipolar), treatment resistant: Adjunctive treatment of unipolar major depressive disorder in patients with an inadequate response to prior antidepressant therapy.

Schizophrenia: Treatment of schizophrenia.

Tourette disorder: Treatment of Tourette disorder (tablet, orally disintegrating tablet, and oral solution only) in children and adolescents.

","Aripiprazole is a quinolinone antipsychotic which exhibits high affinity for D2, D3, 5-HT1A, and 5-HT2A receptors; moderate affinity for D4, 5-HT2C, 5-HT7, alpha1 adrenergic, and H1 receptors. It also possesses moderate affinity for the serotonin reuptake transporter; has no affinity for muscarinic (cholinergic) receptors. Aripiprazole functions as a partial agonist at the D2 and 5-HT1A receptors, and as an antagonist at the 5-HT2A receptor (de Bartolomeis 2015).","Activating/sedating effects
​Dyslipidemia
​Extrapyramidal symptoms
​Hematologic abnormalities
​Hyperglycemia
​Impulse control disorders
​Mortality in older adults
​Neuroleptic malignant syndrome
​Sexual dysfunction
​Temperature dysregulation
​Weight gain","Hypersensitivity (eg, anaphylaxis, pruritus, urticaria) to aripiprazole or any component of the formulation","Check ordered labs and report abnormalities. Check vitals, BMI, abdominal girth, and weight as ordered. Monitor for depression or suicidal ideation. Educate patient to report signs of depression, changes in movement, vision changes, changes in menstruation, or changes in sexual function. Monitor for extrapyramidal symptoms prior to and periodically during therapy, particularly akathisia (restlessness).",
atenolol,,"Agina:  Initial: 50 mg once daily; may increase dose at weekly intervals based on frequency and severity of anginal symptoms and tolerability; usual dosage range: 50 to 100 mg once daily.

Afib: Initial: 25 mg once daily; increase dose gradually as needed to achieve ventricular rate control; usual dosage range: 25 to 100 mg once daily (AHA/ACC/HRS

Hypertension: nitial: 25 mg once or twice daily; titrate at ≥1 week intervals as needed based on response and tolerability up to 100 mg/day in 1 or 2 divided doses (ACC/AHA [Whelton 2018]; manufacturer's labeling); some experts do not recommend doses >50 mg/day to control hypertension because adverse effects may be greater without additional antihypertensive benefit 

",,"Antianginal Agent; Antihypertensive; Beta-Blocker, Beta-1 Selective","Angina: Long-term management of patients with angina pectoris.

Hypertension: Management of hypertension. Note: Beta-blockers are not recommended as first-line therapy (ACC/AHA [Whelton 2018]).

Myocardial infarction, early treatment and secondary prevention: Management of hemodynamically stable patients with definite or suspected acute myocardial infarction to reduce cardiovascular mortality.","Competitively blocks response to beta-adrenergic stimulation, selectively blocks beta1-receptors with little or no effect on beta2-receptors except at high doses","Cardiovascular: Hypotension (acute myocardial infarction: 25%), cardiac failure (acute myocardial infarction: 19%), bradycardia (acute myocardial infarction: 18%; 3%), ventricular tachycardia (acute myocardial infarction: 16%), cold extremities (12%), supraventricular tachycardia (acute myocardial infarction: 12%)

Central nervous system: Fatigue (≤26%), dizziness (1% to 13%), depression (≤12%)","Hypersensitivity to atenolol or any component of the formulation; sinus bradycardia; heart block greater than first-degree (except in patients with a functioning artificial pacemaker); cardiogenic shock; uncompensated cardiac failure

Canadian labeling: Additional contraindications (not in US labeling): Bradycardia (regardless of origin); cor pulmonale; hypotension; severe peripheral arterial disorders; anesthesia with agents that produce myocardial depression; Pheochromocytoma (in the absence of alpha-blockade); metabolic acidosis","Check ordered labs and tests and report any abnormalities. Monitor blood pressure and heart rate prior to and following first dose and with any change in dosage. Instruct patients to discontinue medicine slowly. Teach patients with diabetes possible side effects/appropriate interventions, including altered glucose tolerance and monitoring glucose levels closely. Teach patients orthostatic precautions (rise slowly, call for assistance, notify nurse if feeling dizzy or faint). Monitor for and educate patient to report any signs and symptoms of new or worsening heart failure (edema, new cough, difficulty breathing, unintentional weight gain, unresolved fatigue)",
Atorvastatin,10mg,"40-80mg, but if patient has diabetes 10-20mg",,"antilipemic agent, HMG-CoA reductase inhibitor","heterozygous / homozygous familial hypercholsterolemia, prevention of atherosclerotic cardiovascular disease",inhibits HMG-CoA reductase which is the rate limitting enzyme in choelsterol synthesis -> compensatory iincrsae in the exprression of LDL receptors on hepatocyte membranes and a stimulation of LDL catabolism. ,"hepatic effects(increased serum transaminases and hepatotoxicity), muscle related effects (myalgia, myopathy, rhabdomyolysis)","concurrent with boceprevir, cyclosporine, elbasvir/grazoprevier, glecaprevir/pibrentasvir, ledispavir/sofosbuvir, simeprevir, telaprevir, or velpatasvir/sofosbuvir","monitor for myopathy(muscle pain, weakness, fatigue)",
